ID;SALIS;MIESTAS;TIKSLAS;DATALAIKAS;RENGINYS;DATA_NUO;DATA_IKI;INFORMACIJA;PATVIRTINTA;VARDAS;PAVARDE;PAREIGOS;ISTAIGA
821;;;"Dvišalis bendradarbiavimas";2007-06-06;"Dalybvauti dalykiniuose susitikimuose Sankt Peterburge";2007-06-03;2007-06-08;;1;Antanas;Mikalauskas;"Direktoriaus pavaduotojas";"Energetikos ir ūkio departamentas"
822;Vokietija;Berlynas;"Dvišalis bendradarbiavimas";2007-06-06;"Dalyvauti tarptautinėje konferencijoje";2007-04-25;2007-04-27;;1;Ilona;Lankininkienė;Vedėjas;"Investicinių projektų valdymo skyrius"
822;Vokietija;Berlynas;"Dvišalis bendradarbiavimas";2007-06-06;"Dalyvauti tarptautinėje konferencijoje";2007-04-25;2007-04-27;;1;Renata;Sudikienė;"Poskyrio vedėjas";"Sanglaudos fondo paramos projektų valdymo poskyris"
823;Italija;Padujas;Paroda/Festivalis;2007-06-06;"Dalyvauti aplinkosaugos parodoje";2007-04-17;2007-04-19;;1;Danguolė;Šlepikaitė;"Poskyrio vedėjas";"Aplinkos poskyris"
841;Italija;Valencija;"Kvalifikacijos kėlimas/Stažuotė/Mokymai";2007-06-07;"Dalybvauti programos TAIEX dalyvių susitikime";2007-05-06;2007-05-11;;1;Danguolė;Šlepikaitė;"Poskyrio vedėjas";"Aplinkos poskyris"
861;Švedija;Gioteburgas;Paroda/Festivalis;2007-06-06;"Dalyvauti tarptautinėje parodoje";2007-03-21;2007-03-25;;1;Živilė;Gedminaitė;"Vyriausioji specialistė";"Turizmo skyrius"
862;Ispanija;Barselona;Paroda/Festivalis;2007-06-06;"Dalyvauti turizmo parodoje";2007-03-10;2007-03-12;;1;Nijolė;Beliukevičienė;Vedėjas;"Turizmo skyrius"
863;Ukraina;Kijevas;"Dvišalis bendradarbiavimas";2007-06-06;"Dalyvauti tarptautinėje turizmo parodoje";2007-03-27;2007-03-29;;1;Nijolė;Beliukevičienė;Vedėjas;"Turizmo skyrius"
881;Šveicarija;Ciurichas;Paroda/Festivalis;2009-05-04;"Dalyvauti turizmo parodoje";2007-01-24;2007-01-28;;1;Sonata;Griškienė;"Vedėjo pavaduotojas";"Turizmo skyrius"
882;Vokietija;Berlynas;"Dvišalis bendradarbiavimas";2007-06-06;"Dalyvauti tarptautinėjo turizmo mugėje";2007-03-06;2007-03-11;;1;Sonata;Griškienė;"Vedėjo pavaduotojas";"Turizmo skyrius"
